Partlist

Exported from A10-OLinuXino-Lime_Rev_C.sch at 19/10/2015 18:31

EAGLE Version 6.5.0 Copyright (c) 1988-2013 CadSoft

Assembly variant: 

Part         Value                              Device                            Package                   Library           Sheet
R21          47k                                R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R22          560R                               R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R23          47k                                R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R24          NA                                 R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R25          560R                               R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R26          100k/1%                            R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R27          10k                                R-EU_R0402_TI                     R0402_TI                  rcl               1
R28          200k/1%                            R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R29          10k                                R-EU_R0402_TI                     R0402_TI                  rcl               1
R30          2k/1%                              R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R31          2k/1%                              R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R32          47k                                R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R33          4.99k/1%                           R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R34          NA(0R)                             R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R35          10k                                R-EU_R0402_TI                     R0402_TI                  rcl               1
R36          13k/1%                             R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R37          10k                                R-EU_R0402_TI                     R0402_TI                  rcl               1
R38          NA                                 R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R39          NA                                 R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R40          10k                                R-EU_R0402_TI                     R0402_TI                  rcl               1
R41          6.81k/1%                           R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
